자치구명,법정동명,등록수
은평구,불광동,3847
은평구,수색동,698
은평구,신사동,2930
은평구,역촌동,3206
은평구,응암동,4763
은평구,증산동,883
은평구,진관동,2566
종로구,계동,83
종로구,재동,7
종로구,평동,39
종로구,화동,9
종로구,가회동,105
종로구,견지동,15
종로구,경운동,12
종로구,공평동,2
종로구,관수동,1
종로구,관철동,6
종로구,관훈동,2
종로구,교남동,3
종로구,교북동,44
종로구,구기동,546
종로구,궁정동,7
종로구,권농동,22
종로구,낙원동,31
종로구,내수동,187
종로구,내자동,14
종로구,누상동,207
종로구,누하동,57
종로구,당주동,29
종로구,도렴동,2
종로구,돈의동,34
종로구,동숭동,309
종로구,무악동,451
종로구,봉익동,2
종로구,부암동,497
종로구,사간동,18
종로구,사직동,246
종로구,삼청동,120
종로구,서린동,24
종로구,세종로,31
종로구,소격동,18
종로구,송월동,4
종로구,수송동,26
종로구,숭인동,901
종로구,신교동,89
종로구,신영동,304
종로구,안국동,15
종로구,연건동,63
종로구,연지동,34
종로구,옥인동,147
종로구,와룡동,5
종로구,운니동,8
종로구,원남동,36
종로구,원서동,117
종로구,이화동,119
종로구,익선동,46
종로구,인사동,10
종로구,인의동,47
종로구,장사동,3
종로구,적선동,11
종로구,창성동,35
종로구,창신동,1181
종로구,청운동,155
종로구,청진동,4
종로구,체부동,66
종로구,충신동,155
종로구,통의동,30
종로구,통인동,59
종로구,팔판동,28
종로구,평창동,1203
종로구,필운동,47
종로구,행촌동,208
종로구,혜화동,197
종로구,홍지동,139
종로구,홍파동,162
종로구,효자동,46
종로구,효제동,22
종로구,명륜1가,217
종로구,명륜2가,191
종로구,명륜3가,264
종로구,명륜4가,55
종로구,종로1가,14
종로구,종로3가,1
종로구,종로4가,2
종로구,종로5가,11
종로구,종로6가,35
종로구,신문로1가,6
종로구,신문로2가,55
중구,다동,153
중구,정동,44
중구,초동,5
중구,남창동,31
중구,남학동,1
중구,무교동,2
중구,무학동,19
중구,묵정동,67
중구,방산동,3
중구,북창동,3
중구,산림동,17
중구,소공동,2
중구,수표동,1
중구,수하동,1
중구,순화동,66
중구,신당동,4611
중구,쌍림동,23
중구,예관동,5
중구,예장동,58
중구,오장동,16
중구,입정동,1
중구,주교동,3
중구,주자동,2
중구,중림동,271
중구,황학동,891
중구,흥인동,143
중구,명동2가,9
중구,저동1가,3
중구,저동2가,6
중구,필동1가,10
중구,필동2가,52
중구,필동3가,82
중구,서소문동,1
중구,광희동1가,25
중구,광희동2가,60
중구,남산동1가,27
중구,남산동2가,58
중구,남산동3가,2
중구,만리동1가,58
중구,만리동2가,155
중구,봉래동1가,12
중구,봉래동2가,1
중구,을지로3가,8
중구,을지로4가,6
중구,을지로5가,47
중구,을지로6가,11
중구,을지로7가,7
중구,의주로1가,7
중구,의주로2가,5
중구,인현동1가,5
중구,인현동2가,36
중구,장충동1가,132
중구,장충동2가,190
중구,충무로1가,7
중구,충무로2가,3
중구,충무로3가,10
중구,충무로4가,54
